iter	Logloss
0	0.6521174401
1	0.6149228798
2	0.5807034773
3	0.5500940651
4	0.5204788143
5	0.4938881326
6	0.4688991968
7	0.447004654
8	0.4252553083
9	0.4070357694
10	0.3903409956
11	0.373840088
12	0.3597272126
13	0.3463090616
14	0.3345511062
15	0.3232296555
16	0.3129278428
17	0.303136895
18	0.2941596116
19	0.2866456679
20	0.279202173
21	0.2725403048
22	0.26600001
23	0.2597495317
24	0.2546312473
25	0.249998784
26	0.2456714105
27	0.241484221
28	0.2377695472
29	0.2344858143
30	0.2307360183
31	0.2275839415
32	0.2247345484
33	0.2217098026
34	0.2187974603
35	0.2163175754
36	0.2140347877
37	0.2122404632
38	0.2101681675
39	0.2081242276
40	0.2063484999
41	0.2047402894
42	0.2028352541
43	0.2013588037
44	0.1997483037
45	0.1985711777
46	0.1973778481
47	0.1962056928
48	0.1949932574
49	0.1940304775
50	0.193135893
51	0.1920348944
52	0.1911844543
53	0.1902796313
54	0.1893770321
55	0.1884025304
56	0.1877917608
57	0.1870884091
58	0.1864091686
59	0.1858781631
60	0.1852122081
61	0.1847123137
62	0.1841931501
63	0.1835115531
64	0.1828186998
65	0.1823390082
66	0.1818346622
67	0.181153764
68	0.1806788105
69	0.1802000916
70	0.1798393664
71	0.1794101976
72	0.1791254232
73	0.1786978931
74	0.178333616
75	0.1779266921
76	0.1774239794
77	0.1769525491
78	0.1765484219
79	0.1762159344
80	0.1758989481
81	0.1754445502
82	0.1752190665
83	0.1749864731
84	0.1747482688
85	0.1744943008
86	0.1740412599
87	0.1737754168
88	0.1734884506
89	0.1730731158
90	0.1727367888
91	0.1725351444
92	0.1722816344
93	0.1719867444
94	0.1717707876
95	0.1715777517
96	0.1713689121
97	0.1711334405
98	0.170998813
99	0.1707606509
100	0.1706007087
101	0.1704999263
102	0.1702712991
103	0.1700875616
104	0.1698616413
105	0.1696311447
106	0.1694419826
107	0.1692208979
108	0.1690407494
109	0.1688307186
110	0.1686481796
111	0.1684110127
112	0.1682468884
113	0.1680638748
114	0.167858503
115	0.1676941567
116	0.1674201957
117	0.1672249246
118	0.1670395401
119	0.1669203021
120	0.1667450257
121	0.166627168
122	0.1665019659
123	0.1663700343
124	0.1661813644
125	0.1660600659
126	0.1659488922
127	0.165815916
128	0.1656024486
129	0.1653923646
130	0.1652548059
131	0.1650310803
132	0.1648824451
133	0.1647179493
134	0.1645536191
135	0.1643671614
136	0.1642578899
137	0.1641084867
138	0.1639605267
139	0.1637768779
140	0.1635991872
141	0.16340834
142	0.1631927753
143	0.1630446581
144	0.1629286516
145	0.1627475066
146	0.1626368109
147	0.1625027904
148	0.1623555109
149	0.1621908428
150	0.1620133513
151	0.1618402415
152	0.1616318658
153	0.1614925296
154	0.1613216651
155	0.1611853309
156	0.1610664641
157	0.1609665274
158	0.160858353
159	0.1607376766
160	0.1605974313
161	0.160455609
162	0.1603339962
163	0.1602247094
164	0.1601710594
165	0.1600976292
166	0.1600302062
167	0.1599118072
168	0.1597630458
169	0.159676163
170	0.1595582875
171	0.1594261104
172	0.1592829607
173	0.1590832256
174	0.1590271925
175	0.1589147726
176	0.1587567049
177	0.1586471526
178	0.1585085678
179	0.158383937
180	0.158320958
181	0.1581825884
182	0.1581002418
183	0.1579206055
184	0.1577714102
185	0.1576245926
186	0.1575567234
187	0.157440808
188	0.1573662559
189	0.1572684855
190	0.157152914
191	0.1570144322
192	0.1568589822
193	0.1566473295
194	0.1565338649
195	0.15638288
196	0.1562910137
197	0.1562004335
198	0.1560494047
199	0.1559193137
200	0.1558364529
201	0.1557474694
202	0.1556351275
203	0.1555385995
204	0.1554408605
205	0.1553192466
206	0.1552029581
207	0.1550866514
208	0.1549984133
209	0.154840846
210	0.1547130253
211	0.1546359782
212	0.1545563123
213	0.154444668
214	0.1543938375
215	0.1543056309
216	0.1542115156
217	0.1541438458
218	0.1540494637
219	0.1539588105
220	0.1538234931
221	0.1537018397
222	0.1535294242
223	0.1534546043
224	0.1533465944
225	0.1532522105
226	0.153181912
227	0.1530673543
228	0.1529514859
229	0.1528857381
230	0.1527783997
231	0.1526725512
232	0.1525643924
233	0.1524716447
234	0.1523956276
235	0.1523097736
236	0.1522325622
237	0.1521670032
238	0.1520896848
239	0.1520086356
240	0.1518548287
241	0.1517669429
242	0.1516973917
243	0.1515811139
244	0.151435776
245	0.151350193
246	0.1512162368
247	0.1510907631
248	0.1509886046
249	0.1509231764
250	0.1507950739
251	0.1507450875
252	0.1506340419
253	0.150539099
254	0.1504493734
255	0.1503513973
256	0.1502347766
257	0.1501380911
258	0.1500593507
259	0.1499526552
260	0.1498653179
261	0.1497996574
262	0.1497211688
263	0.1496403112
264	0.1495644283
265	0.1494570652
266	0.1493076149
267	0.1492067156
268	0.1491076126
269	0.1490431048
270	0.1489537114
271	0.1488598969
272	0.1488189879
273	0.1487290675
274	0.1486579478
275	0.1485659134
276	0.1484407807
277	0.1483689404
278	0.1482526371
279	0.1481774235
280	0.1480486327
281	0.1479829909
282	0.1479013181
283	0.1477578671
284	0.1476972529
285	0.1475725254
286	0.1474301214
287	0.1473103034
288	0.1472413804
289	0.1471562545
290	0.1470746528
291	0.1469338612
292	0.1468869832
293	0.1468111369
294	0.1467537485
295	0.1466397032
296	0.1465658075
297	0.1464845065
298	0.1463734992
299	0.1462723993
300	0.1461404185
301	0.1460381032
302	0.1459692708
303	0.14588684
304	0.1457966323
305	0.1456869798
306	0.1456094675
307	0.1455339238
308	0.1453797658
309	0.145252882
310	0.1451476366
311	0.1450652844
312	0.1449888819
313	0.1449202225
314	0.1447554288
315	0.144670469
316	0.1445586981
317	0.1444650128
318	0.1443593014
319	0.1442653491
320	0.1441757085
321	0.1440668178
322	0.1439321346
323	0.1438670274
324	0.1437818497
325	0.1436526738
326	0.1435599244
327	0.1434348633
328	0.1433203188
329	0.1432404912
330	0.1431571685
331	0.1430839733
332	0.1430126796
333	0.1428893574
334	0.1428044798
335	0.1427265652
336	0.1426440182
337	0.1425043225
338	0.1424137574
339	0.1423358663
340	0.142275462
341	0.1421574692
342	0.1420599346
343	0.1419894313
344	0.1418792145
345	0.1417472361
346	0.1416143976
347	0.1415270953
348	0.1414135369
349	0.1413062005
350	0.1412273341
351	0.141132086
352	0.1410372224
353	0.1409703831
354	0.1408181287
355	0.1407234064
356	0.1406387056
357	0.1405593055
358	0.1404953535
359	0.1404364391
360	0.1403076679
361	0.1402138577
362	0.1401058127
